Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,Hip ad/abduction moment,Hip in/external rotation moment,Hip power,Knee ad/abduction angle,Knee ad/abduction moment,Knee in/external rotation moment,Ipsi/contralateral pelvic lean,EMG activation for gastrocnemius,EMG activation for soleus
65,2.650721423,12.0825,-3.91312,0.878522,0.0688689,10.4213,3.77314,0.0433963,0.015997,-0.486326,-10.5059,0.102863,0.049184,-5.81163,0.614106253,0.595401327
66,14.17188999,8.01695,-4.18954,0.722165,0.0542795,8.63477,3.23382,-0.0599057,0.0217991,-0.819542,-9.87008,0.091276,0.0397244,-6.03888,0.597034495,0.57385009
67,4.763039634,26.3511,6.20184,2.68066,0.0918218,16.279,8.20548,1.27665,-0.0372567,-5.40193,8.59763,0.480052,0.0719068,-11.401,0.909015107,0.844200754
68,5.214450286,24.0705,6.14803,2.60428,0.0757095,18.242,8.10298,1.27379,-0.028497,-5.95778,7.58232,0.382671,0.0551888,-11.8787,0.896126262,0.823257905
69,5.90801078,21.4348,6.0697,2.51005,0.06199,19.9123,7.97932,1.25979,-0.0184309,-6.296,6.57038,0.286282,0.0434545,-12.3509,0.883226517,0.800777488
70,7.057494467,18.4558,5.96252,2.39127,0.0476005,21.123,7.80809,1.22239,-0.00741522,-6.39011,5.56861,0.188285,0.0341014,-12.8125,0.870108779,0.777400638
71,9.324135981,15.1582,5.82313,2.25133,0.0342891,21.8155,7.56927,1.16005,0.000585338,-6.26679,4.58581,0.0920989,0.0235867,-13.2579,0.854282476,0.753008413
72,15.626646,11.5799,5.64981,2.08204,0.0172833,21.7736,7.26372,1.06896,0.00879683,-5.94916,3.63325,-0.00217166,0.0146302,-13.6814,0.835573213,0.727803887
73,5.81463394,18.4455,2.63132,3.74939,0.0800157,13.7447,11.6299,1.05862,-0.158223,2.35448,3.99627,0.60653,0.0752166,-2.45088,0.967499409,0.940140662
74,6.418762708,17.1392,2.35353,3.67059,0.0674872,17.579,11.6163,1.01004,-0.147138,1.40435,3.73855,0.572886,0.070026,-2.95073,0.960264588,0.929074854
75,7.429679048,15.4936,2.06424,3.55863,0.0568806,21.2848,11.5319,0.963352,-0.135322,0.526161,3.53003,0.54251,0.0670688,-3.45513,0.951795417,0.918023899
76,9.349744377,13.4883,1.76469,3.40657,0.0448434,24.5635,11.3616,0.922878,-0.126094,-0.210735,3.36148,0.516773,0.0623537,-3.95972,0.943113631,0.906497635
77,14.18610983,11.1103,1.45674,3.21117,0.0390352,27.0555,11.0813,0.890991,-0.115884,-0.697439,3.21971,0.498639,0.0604298,-4.45937,0.934236948,0.894377233
78,46.51942093,8.35803,1.14332,2.97094,0.0331315,28.4185,10.6617,0.847204,-0.100276,-1.04744,3.08873,0.47405,0.0590587,-4.94829,0.925242145,0.878862821
79,3.41983916,19.9214,2.1186,2.84469,0.231549,11.1882,9.17172,1.49852,-0.0952065,-3.39374,8.66914,0.938171,0.224327,-7.05754,0.954395266,0.928062013
80,3.765170912,18.5683,2.0566,2.80944,0.218466,13.48,9.21389,1.47984,-0.0729719,-3.87451,7.76006,0.840855,0.207647,-7.35625,0.948073308,0.917849226
81,4.28070716,16.94,1.99123,2.74818,0.199407,15.6747,9.18565,1.43307,-0.0468058,-4.30158,6.84213,0.726721,0.189409,-7.65325,0.941648555,0.908314617
82,5.12625832,15.0237,1.92202,2.65467,0.178013,17.6138,9.0662,1.36308,-0.0230432,-4.66182,5.92224,0.604804,0.167224,-7.94453,0.934474859,0.897481988
83,6.788956426,12.8133,1.84865,2.52962,0.157975,19.1392,8.83713,1.27711,0.00170967,-4.92438,5.00872,0.481335,0.148002,-8.22593,0.927660949,0.886638421
84,11.54144194,10.3096,1.77098,2.3708,0.135793,20.0774,8.49353,1.17605,0.0223441,-5.07734,4.11179,0.359651,0.127661,-8.49328,0.920523966,0.875561503
85,1.230651449,42.1584,0.326407,3.25231,0.163634,-0.228034,9.56234,1.77863,-0.469938,3.49093,-6.00701,0.0607542,-0.0712698,-2.65566,1,1
86,1.241489187,42.0389,0.2233,3.27116,0.162592,2.68575,9.7447,1.75961,-0.464134,2.66363,-7.15481,0.040957,-0.0699826,-3.65154,0.970438652,0.98022024
87,1.230130822,41.3729,0.0788672,3.18698,0.152619,6.1271,9.597,1.65247,-0.44419,1.39088,-8.14733,0.0176604,-0.0677604,-4.69865,0.944458241,0.960148953
88,1.255796561,22.2941,-1.55229,1.53357,0.00921729,13.3658,6.02602,0.0584978,-0.0338541,-1.61883,-8.15819,-0.0427482,-0.030511,-10.074,0.766941155,0.744738782
89,1.375831475,16.9478,-1.81145,1.1015,-0.0114134,9.536,4.46864,-0.151377,0.0244637,-1.3804,-7.62463,-0.033014,-0.00608006,-10.5455,0.73396277,0.68966513
90,1.82173572,11.6143,-1.98468,0.664887,-0.0149088,5.40661,2.71804,-0.250356,0.0493309,-1.37853,-7.21766,-0.00558591,0.0203327,-10.8535,0.693196718,0.630301097
91,1.699530548,25.9295,0.668226,2.38765,0.11119,21.1283,7.55969,0.229065,0.0411018,-2.20956,-4.89631,0.182751,0.111857,-4.82033,0.758351918,0.781165015
92,1.89180613,23.0142,0.526511,2.26501,0.110463,22.3815,7.32758,0.134852,0.0394164,-2.25114,-4.37933,0.142663,0.0941833,-5.06977,0.736915515,0.762038021
93,2.208779378,19.767,0.389252,2.12205,0.106428,22.8927,7.04501,0.0355405,0.0338208,-2.28007,-3.8328,0.108008,0.0749327,-5.29025,0.715024129,0.742246768
94,2.80684588,16.2236,0.260794,1.95429,0.0998089,22.4788,6.6931,-0.0545471,0.023709,-2.21467,-3.27315,0.0809211,0.0546989,-5.47805,0.693005945,0.723843222
95,4.305841811,12.4491,0.145986,1.75348,0.0916419,20.9808,6.21724,-0.153646,0.0121438,-2.15916,-2.71815,0.0548338,0.0343982,-5.62963,0.670972843,0.704581403
96,15.26820702,8.53873,0.0496402,1.52469,0.0795931,18.4977,5.62214,-0.260173,-0.00038551,-2.08281,-2.18675,0.0255573,0.01389,-5.74195,0.65065525,0.683474789
97,2.183010472,24.2659,3.65529,2.1416,0.41702,18.3749,6.59336,0.68906,-0.0342569,-2.48821,12.5455,0.44117,0.158199,-8.81021,0.83915904,0.912727032
98,2.416482596,21.5582,3.5924,2.01133,0.389848,18.8209,6.35246,0.653138,-0.0292355,-2.91446,11.9786,0.393132,0.1391,-8.8676,0.820623369,0.901376984
99,2.796279799,18.6102,3.52053,1.86537,0.361753,18.8225,6.05844,0.614754,-0.0246651,-3.18054,11.3774,0.3447,0.121187,-8.89788,0.801720146,0.889274881
100,3.510332089,15.4395,3.43974,1.70409,0.325205,18.3107,5.682,0.55107,-0.0182578,-3.38462,10.7477,0.280337,0.0979712,-8.90056,0.782736061,0.876427016
101,5.259758893,12.0725,3.35034,1.51549,0.286204,17.128,5.19045,0.484898,-0.00740862,-3.63384,10.097,0.212043,0.0779261,-8.87559,0.76339545,0.863752218
102,17.28134478,8.54508,3.25307,1.32215,0.241119,15.4968,4.62912,0.407473,0.00457341,-3.8296,9.43481,0.133705,0.0570844,-8.82352,0.744326828,0.851036514
